ASV,Name,Completeness,Contamination,16S_identity（%）,taxonomy,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size(bp),predicted_genome_size(Mb),GC_Content,Total_Coding_Sequences
ASV_26010,GCA_020161755.1,95.9 ,3.66,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionicimonas;s__Propionicimonas_sp020161755_[location=31567..33080]_[ssu_len=1514]_[contig_len=40659],0.912,112524,329.4644939,4083078,4.1 ,0.71,3774
ASV_6185,GCA_016711345.1,95.9 ,0.57,100.0 ,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17_sp016711345_[location=3345471..3346988]_[ssu_len=1518]_[contig_len=4150144],0.907,4150144,328.6170012,4595114,4.8 ,0.5,4235
ASV_11935,GCA_001896575.1,95.9 ,0.02,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__UBA4179_sp002381125_[location=1..1042]_[ssu_len=1042]_[contig_len=1225],0.892,25321,340.6139037,2138560,2.2 ,0.41,1870
ASV_3570,GCA_003463775.1,96.0 ,3.68,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caccae_[location=3561..5085]_[ssu_len=1525]_[contig_len=5096],0.892,85476,303.446075,5753370,5.8 ,0.43,5656
ASV_8928,GCF_011764425.1,96.0 ,4.93,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Phytohabitans;s__Phytohabitans_houttuyneae_[location=732772..734284]_[ssu_len=1513]_[contig_len=5156269],0.885,2641586,325.46467,11342817,11.2 ,0.72,10317
ASV_36645,GCA_018266935.1,96.0 ,2.87,99.2 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter_sp018266935_[location=12216..13734]_[ssu_len=1519]_[contig_len=16436],0.904,12886,293.9419996,4804215,4.9 ,0.47,4931
ASV_6488,GCA_016706205.1,96.0 ,2.15,99.7 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008_sp016720585_[location=70234..71761]_[ssu_len=1528]_[contig_len=1139933],0.888,998154,316.9784912,3328793,3.4 ,0.41,3115
ASV_23171,GCA_018057705.1,96.0 ,0.15,100.0 ,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__JAGPDF01;s__JAGPDF01_sp018057705_[location=93535..95086]_[ssu_len=1552]_[contig_len=137908],0.919,53469,358.1031473,5082361,5.3 ,0.69,4353
ASV_3376,GCA_005879405.1,96.0 ,2.59,100.0 ,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UTPRO1;f__UTPRO1;g__DP-19;s__DP-19_sp005879405_[location=9808..11364]_[ssu_len=1557]_[contig_len=41342],0.894,13785,292.9001965,4487843,4.6 ,0.69,4579
ASV_805,GCA_013693935.1,96.0 ,1.74,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A_mexicana_[location=708129..709667]_[ssu_len=1539]_[contig_len=3950501],0.89,3950501,320.8806337,3950501,4.0 ,0.67,3661
ASV_12133,GCA_902636665.1,96.0 ,0.59,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia_sp902636535_[location=1..1166]_[ssu_len=1166]_[contig_len=1200],0.858,22820,298.7961007,1282694,1.3 ,0.35,1231
ASV_8407,GCA_902810735.1,96.0 ,4.33,100.0 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CADDYX01;s__CADDYX01_sp902810735_[location=20344..21901]_[ssu_len=1558]_[contig_len=32086],0.938,13546,308.8074656,3010812,3.0 ,0.61,3054
ASV_1200,GCA_016704945.1,96.0 ,3.92,99.7 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter_sp016715365_[location=147110..148634]_[ssu_len=1525]_[contig_len=629649],0.882,421412,286.0621174,4276253,4.3 ,0.4,4411
ASV_5688,GCA_008680105.1,96.0 ,0.06,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R_sp000436835_[location=373787..375313]_[ssu_len=1527]_[contig_len=560367],0.896,423239,328.9706546,1948170,2.0 ,0.38,1772
ASV_2175,GCA_009379725.1,96.1 ,3.6,100.0 ,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__WHTF01;s__WHTF01_sp009379725_[location=108626..110181]_[ssu_len=1556]_[contig_len=122331],0.873,25978,294.2047733,4229199,4.2 ,0.54,4190
ASV_27007,GCF_010367455.1,96.1 ,1.77,99.5 ,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Laterigemmans;s__Laterigemmans_baculatus_[location=2952..4516]_[ssu_len=1565]_[contig_len=10795],0.866,74341,387.9816022,5760742,5.9 ,0.64,4294
ASV_4486,GCA_021836865.1,96.1 ,0.33,99.7 ,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus_sp021836865_[location=6744..8239]_[ssu_len=1496]_[contig_len=9199],0.885,30579,333.9520431,3981265,4.1 ,0.61,3524
ASV_46656,GCA_016870355.1,96.1 ,1.53,99.2 ,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHVJ01;s__SHVJ01_sp016870355_[location=3357..4869]_[ssu_len=1513]_[contig_len=91588],0.933,215763,303.746888,2816131,2.9 ,0.68,2892
ASV_1380,GCA_905339215.1,96.1 ,1.4,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__DUSC01;s__DUSC01_sp008933895_[location=2..1381]_[ssu_len=1380]_[contig_len=1381],0.898,69740,309.2473303,5409851,5.5 ,0.66,5244
ASV_20248,GCF_000588875.1,96.1 ,6.19,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium_sp000588875_[location=3590..5075]_[ssu_len=1486]_[contig_len=29675],0.879,74203,276.0488809,5238558,5.1 ,0.62,5585
ASV_5477,GCF_009707485.1,96.1 ,0.62,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Pedococcus;s__Pedococcus_sp009707485_[location=696847..698368]_[ssu_len=1522]_[contig_len=3482451],0.902,3482451,308.2717136,3482451,3.6 ,0.71,3408
ASV_2416,GCA_016706565.1,96.1 ,0.78,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Piscinibacter;s__Piscinibacter_sp016706565_[location=439266..440791]_[ssu_len=1526]_[contig_len=625565],0.918,625565,323.3203689,5257475,5.4 ,0.69,4988
ASV_30532,GCA_021802585.1,96.1 ,0.35,99.7 ,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043_sp021802585_[location=2102..3599]_[ssu_len=1498]_[contig_len=19572],0.909,30154,316.9432848,2649650,2.7 ,0.75,2539
ASV_3948,GCA_019240445.1,96.1 ,3.05,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GAS188;s__GAS188_sp019247795_[location=19..1497]_[ssu_len=1479]_[contig_len=9462],0.881,7562,282.9995775,4555797,4.6 ,0.63,4734
ASV_30,GCA_003223025.1,96.1 ,0.17,100.0 ,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17_sp003223025_[location=183193..184706]_[ssu_len=1514]_[contig_len=185454],0.889,210595,343.1232694,4340924,4.5 ,0.53,3756
ASV_19623,GCA_016705775.1,96.2 ,2.34,99.2 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__Propionivibrio_aalborgensis_[location=54532..56068]_[ssu_len=1537]_[contig_len=59796],0.897,93914,306.6489945,3354719,3.4 ,0.58,3282
ASV_39066,GCA_022711615.1,96.2 ,1.68,100.0 ,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__UBA5066_sp022711615_[location=4..1463]_[ssu_len=1460]_[contig_len=10563],0.939,12382,339.1031689,4537151,4.6 ,0.72,4197
ASV_39773,GCA_903824305.1,96.2 ,1.29,99.5 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opi-474;s__Opi-474_sp903825285_[location=14478..15495]_[ssu_len=1018]_[contig_len=15499],0.91,42886,341.827983,3718591,3.8 ,0.69,3302
ASV_5962,GCA_005881895.1,96.2 ,1.27,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__VBCG01_sp005881895_[location=1..964]_[ssu_len=964]_[contig_len=44106],0.912,26236,297.8622809,4294304,4.4 ,0.62,4393
ASV_27333,GCA_015657645.1,96.2 ,1.12,99.2 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium_sp015657645_[location=109..1590]_[ssu_len=1482]_[contig_len=4895],0.92,12460,270.4253142,3007229,3.1 ,0.66,3421
ASV_17322,GCA_001274695.2,96.2 ,0.68,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Aromatoleum;s__Aromatoleum_sp001274695_[location=2383179..2384713]_[ssu_len=1535]_[contig_len=2388297],0.89,2388297,316.7942769,4135092,4.3 ,0.66,3879
ASV_18691,GCA_022840925.1,96.2 ,3.26,99.2 ,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA2256;s__UBA2256_sp001603165_[location=376..1755]_[ssu_len=1380]_[contig_len=2205],0.911,264202,333.7662946,3046784,3.1 ,0.56,2777
ASV_29013,GCF_014203665.1,96.2 ,0.21,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinosynnema;s__Actinosynnema_tamanrassetense_[location=7..1022]_[ssu_len=1016]_[contig_len=1023],0.888,696116,329.0381648,8053586,8.4 ,0.71,7258
ASV_14827,GCA_015478725.1,96.2 ,2.33,99.5 ,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__C-114;s__C-114_sp015478725_[location=8200..9698]_[ssu_len=1499]_[contig_len=31226],0.901,104447,320.8650401,3452478,3.5 ,0.7,3238
ASV_485,GCA_016794615.1,96.2 ,0.01,99.7 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia_sp016794615_[location=3470..4419]_[ssu_len=950]_[contig_len=4419],0.898,16728,324.3589489,4362132,4.5 ,0.73,4034
ASV_23497,GCA_019509785.1,96.3 ,1.7,100.0 ,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA11236;f__UBA11236;g__Chersky-265;s__Chersky-265_sp019509785_[location=64..1581]_[ssu_len=1518]_[contig_len=1968],0.917,96820,362.278069,5417653,5.5 ,0.62,4578
ASV_18466,GCA_020093245.1,96.3 ,3.03,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_aurum_[location=3617..5138]_[ssu_len=1522]_[contig_len=17988],0.842,14218,278.5285338,3384012,3.4 ,0.68,3417
ASV_31192,GCF_019550795.1,96.3 ,2.86,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_Z;s__Paenibacillus_Z_sp019550795_[location=260716..262261]_[ssu_len=1546]_[contig_len=6100890],0.86,6100890,312.7692308,6100890,6.2 ,0.5,5603
ASV_257,GCA_016082275.1,96.3 ,4.34,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Variovorax;s__Variovorax_sp016082275_[location=3761..5291]_[ssu_len=1531]_[contig_len=5685],0.895,39386,280.5439946,8284030,8.2 ,0.67,8842
ASV_28216,GCA_015075405.1,96.3 ,6.44,100.0 ,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__J111;g__DSQQ01;s__DSQQ01_sp015075405_[location=534158..535651]_[ssu_len=1494]_[contig_len=2152663],0.879,1555394,340.7135282,8981375,8.7 ,0.55,7732
ASV_1965,GCA_003223455.1,96.4 ,0.82,100.0 ,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__AG11_sp003223455_[location=2076..3609]_[ssu_len=1534]_[contig_len=24659],0.91,60058,332.1258264,4959095,5.1 ,0.68,4538
ASV_6025,GCF_003330725.1,96.4 ,1.67,99.2 ,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Acidisarcina;s__Acidisarcina_polymorpha_[location=1124469..1125964]_[ssu_len=1496]_[contig_len=7112011],0.855,7112011,323.3335318,7600726,7.8 ,0.57,6719
ASV_28235,GCA_008933705.1,96.4 ,1.26,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__AWTP1-13;s__AWTP1-13_sp008933705_[location=1542..3022]_[ssu_len=1481]_[contig_len=19100],0.876,69819,298.1069025,5301936,5.4 ,0.66,5201
ASV_2761,GCA_016715165.1,96.4 ,3.75,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADKGY01;s__JADKGY01_sp016721905_[location=386307..387827]_[ssu_len=1521]_[contig_len=876075],0.876,327885,368.7360923,5574162,5.6 ,0.45,4422
ASV_9141,GCA_903929065.1,96.4 ,3.03,99.2 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter_sp903929065_[location=21..1034]_[ssu_len=1014]_[contig_len=4206],0.885,7265,311.1323142,3995027,4.0 ,0.38,3794
ASV_17558,GCA_021786095.1,96.4 ,0.91,99.2 ,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2_sp021786095_[location=70361..71877]_[ssu_len=1517]_[contig_len=108558],0.914,39472,306.528122,2104417,2.2 ,0.7,2098
ASV_2144,GCA_016790065.1,96.4 ,5.56,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Steroidobacter_A;s__Steroidobacter_A_sp016790065_[location=2..1237]_[ssu_len=1236]_[contig_len=18175],0.934,13698,350.5150119,8537399,8.4 ,0.61,7594
ASV_5880,GCA_903871185.1,96.4 ,0.66,100.0 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__Palsa-1447_sp903834135_[location=36617..37580]_[ssu_len=964]_[contig_len=37580],0.932,57042,369.7447818,2505437,2.6 ,0.42,2108
ASV_27034,GCF_000621145.1,96.4 ,0.33,99.5 ,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus_elongatus_[location=75211..76765]_[ssu_len=1555]_[contig_len=76960],0.881,107689,330.5719149,3961953,4.1 ,0.62,3525
ASV_29173,GCA_003225635.1,96.5 ,3.27,99.2 ,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Gp1-AA122;s__Gp1-AA122_sp003225055_[location=5510..6428]_[ssu_len=919]_[contig_len=6428],0.82,39932,283.6947534,7256223,7.3 ,0.58,7014
ASV_26290,GCA_902636365.1,96.5 ,4.25,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia_sp902636535_[location=298..1444]_[ssu_len=1147]_[contig_len=1444],0.849,22819,283.4796623,1301065,1.3 ,0.35,1303
ASV_27136,GCA_022843165.1,96.5 ,0.41,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes;s__Pseudorhodoplanes_sp022843165_[location=187503..188986]_[ssu_len=1484]_[contig_len=535013],0.898,174715,303.0678851,3872228,4.0 ,0.63,3830
ASV_1145,GCA_000980515.1,96.5 ,2.41,100.0 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila_[location=266..1774]_[ssu_len=1509]_[contig_len=250220],0.872,190924,328.7482688,2770805,2.8 ,0.55,2455
ASV_11363,GCF_000969705.1,96.5 ,1.77,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__Nitriliruptor_alkaliphilus_[location=3692310..3693827]_[ssu_len=1518]_[contig_len=5558097],0.908,5558097,323.338255,5558097,5.7 ,0.72,5215
ASV_404,GCA_017883415.1,96.5 ,2.37,100.0 ,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JADGNR01;s__JADGNR01_sp017883415_[location=308..1793]_[ssu_len=1486]_[contig_len=3416],0.904,12258,315.5677512,5842053,5.9 ,0.65,5594
ASV_13094,GCF_003633755.1,96.5 ,1.25,100.0 ,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__Solirubrobacter_pauli_[location=1826470..1828012]_[ssu_len=1543]_[contig_len=2577220],0.94,4255451,338.3569922,7135497,7.3 ,0.72,6636
ASV_2417,GCA_001078315.1,96.5 ,1.3,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus_faecis_[location=3367..4888]_[ssu_len=1522]_[contig_len=346679],0.876,346679,274.162243,2503910,2.6 ,0.3,2675
ASV_4117,GCF_001557235.1,96.5 ,0.8,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium_sp001557235_[location=148726..150204]_[ssu_len=1479]_[contig_len=199742],0.904,43497,302.1401955,5423350,5.6 ,0.69,5421
ASV_3922,GCF_000424625.1,96.6 ,2.75,100.0 ,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Baekduia;s__Baekduia_woesei_A_[location=1387710..1389253]_[ssu_len=1544]_[contig_len=1871678],0.934,1871678,326.4971544,5695417,5.7 ,0.72,5447
ASV_10747,GCA_019638905.1,96.6 ,0.96,99.7 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Terrimesophilobacter;s__Terrimesophilobacter_sp023957835_[location=871233..872755]_[ssu_len=1523]_[contig_len=902310],0.935,902310,326.2327718,2046434,2.1 ,0.59,1959
ASV_33774,GCA_021731085.1,96.6 ,0.88,100.0 ,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__JACRBR01;g__JACRBR01;s__JACRBR01_sp021731085_[location=21833..23329]_[ssu_len=1497]_[contig_len=112481],0.895,117010,304.6709402,3579174,3.7 ,0.63,3510
ASV_19963,GCA_005881595.1,96.6 ,1.87,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23_sp005881595_[location=22291..23827]_[ssu_len=1537]_[contig_len=26727],0.946,28770,299.7618214,3787137,3.8 ,0.66,3997
ASV_20941,GCA_018435075.1,96.6 ,0.1,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64_sp001603455_[location=82390..83910]_[ssu_len=1521]_[contig_len=85017],0.949,137904,362.0570776,1997561,2.1 ,0.46,1752
ASV_460,GCA_003168335.1,96.6 ,0.5,100.0 ,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__UBA11740_sp003168335_[location=207577..209134]_[ssu_len=1558]_[contig_len=984560],0.871,551449,335.6204429,5160709,5.3 ,0.56,4471
ASV_13479,GCA_000961725.1,96.6 ,6.01,99.7 ,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__Desulforhopalus_sp000961725_[location=4192..5733]_[ssu_len=1542]_[contig_len=5933],0.88,136826,330.4884323,6515854,6.3 ,0.52,5792
ASV_9363,GCA_945861275.1,96.7 ,2.11,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__UBA5216;s__UBA5216_sp945861275_[location=2570..4099]_[ssu_len=1530]_[contig_len=93681],0.899,89764,309.684742,5518828,5.6 ,0.6,5348
ASV_11205,GCF_003426775.1,96.7 ,3.23,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Allorhizocola;s__Allorhizocola_rhizosphaerae_[location=3938..5459]_[ssu_len=1522]_[contig_len=5599],0.898,31640,309.9826678,8809588,8.8 ,0.68,8539
ASV_23389,GCA_003159675.1,96.7 ,2.28,99.2 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA3939;g__BOG-1460;s__BOG-1460_sp003159675_[location=23672..24694]_[ssu_len=1023]_[contig_len=24694],0.877,35584,328.2352941,4114896,4.2 ,0.6,3672
ASV_27187,GCA_902636675.1,96.7 ,0.7,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia_sp902636535_[location=78..1598]_[ssu_len=1521]_[contig_len=1965],0.857,22819,294.2722892,1278512,1.3 ,0.35,1245
ASV_28658,GCA_020161935.1,96.7 ,7.53,99.2 ,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__CFX2;s__CFX2_sp020161935_[location=69027..70517]_[ssu_len=1491]_[contig_len=1740302],0.877,404368,326.3596671,7636215,7.3 ,0.54,6848
ASV_33727,GCA_900553425.1,96.7 ,4.4,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola;s__Merdicola_sp001915925_[location=460238..461755]_[ssu_len=1518]_[contig_len=464234],0.891,399458,299.9004684,1721367,1.7 ,0.28,1708
ASV_20595,GCA_016706365.1,96.7 ,4.25,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__SLDF01;s__SLDF01_sp016706365_[location=78670..80189]_[ssu_len=1520]_[contig_len=315265],0.849,323840,302.4053936,4899191,4.9 ,0.39,4598
ASV_11786,GCA_016874795.1,96.7 ,2.46,100.0 ,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA12015;f__UBA12015;g__VGTG01;s__VGTG01_sp016874795_[location=1480..3040]_[ssu_len=1561]_[contig_len=22546],0.915,31183,325.107888,6266316,6.3 ,0.69,5895
ASV_17249,GCA_005881575.1,96.7 ,0.51,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__VBDM01;s__VBDM01_sp005881575_[location=10894..12423]_[ssu_len=1530]_[contig_len=23980],0.931,72725,316.9016043,3813663,3.9 ,0.65,3740
ASV_18571,GCF_001890385.1,96.7 ,1.24,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Tardibacter;s__Tardibacter_chloracetimidivorans_[location=605429..606915]_[ssu_len=1487]_[contig_len=3381342],0.904,3381342,286.9606516,3787976,3.9 ,0.63,3990
ASV_41627,GCA_022842205.1,96.7 ,0.04,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae;g__Terrihabitans;s__Terrihabitans_sp022842205_[location=46352..47825]_[ssu_len=1474]_[contig_len=302896],0.911,302896,304.5338373,2781792,2.9 ,0.63,2778
ASV_3320,GCA_016705145.1,96.7 ,2.71,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__CAIWHR01;s__CAIWHR01_sp016720425_[location=211970..213509]_[ssu_len=1540]_[contig_len=472405],0.868,294457,311.4845336,4442731,4.5 ,0.7,4138
ASV_1426,GCA_003134045.1,96.8 ,6.38,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198_sp003134045_[location=2646..3936]_[ssu_len=1291]_[contig_len=167056],0.898,50557,318.496916,5507822,5.3 ,0.63,5188
ASV_5605,GCF_001688725.2,96.8 ,0.05,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caecimuris_[location=3791018..3792543]_[ssu_len=1526]_[contig_len=4839927],0.887,4839927,351.7108877,4839927,5.0 ,0.43,4078
ASV_15958,GCA_004299235.1,96.8 ,0.92,99.2 ,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__SCQL01;s__SCQL01_sp004299235_[location=17201..18709]_[ssu_len=1509]_[contig_len=22314],0.918,148845,304.2621594,2873252,2.9 ,0.67,2899
ASV_16901,GCA_001553395.1,96.8 ,0.01,100.0 ,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_lornae_[location=94..1658]_[ssu_len=1565]_[contig_len=1730],0.878,137529,320.7566372,1729361,1.8 ,0.46,1582
ASV_26014,GCA_019694335.1,96.8 ,2.86,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__JAIBCD01;s__JAIBCD01_sp019694335_[location=9478..10974]_[ssu_len=1497]_[contig_len=31066],0.904,29962,324.427387,4018042,4.0 ,0.65,3739
